Equipment_Available,Exercise
Barbell,Bench Press
Dumbbell,Bench Press
Barbell,Deadlift
Mixed,Deadlift
Barbell,Barbell Squat
Machine,Barbell Squat
Barbell,Overhead Press
Dumbbell,Overhead Press
Bodyweight,Pull Ups
Machine,Pull Ups
Machine,Leg Press
Dumbbell,Dumbbell Rows
Kettlebell,Kettlebell Swing
Machine,Lat Pulldown
Resistance Band,Lat Pulldown
Machine,Machine Chest Fly
Barbell,T-Bar Row
Machine,T-Bar Row
Machine,Machine Leg Extension
Bodyweight,Burpees
Bodyweight,Mountain Climbers
Kettlebell,Kettlebell Swing
Bodyweight,Jumping Jacks
Dumbbell,Goblet Squat
Kettlebell,Goblet Squat
Dumbbell,Dumbbell Lunges
Bodyweight,Lunges
Machine,Elliptical Trainer
Bodyweight,Step Ups
Machine,Running (Treadmill)
Mixed,Jump Rope
Bodyweight,Running (Outdoor)
Mixed,Cycling (Outdoor)
Bodyweight,Air Squats
Bodyweight,Plank
Mixed,Battle Ropes
Bodyweight,Wall Sit
Machine,Recumbent Bike
Bodyweight,Push Ups
Kettlebell,Kettlebell Clean & Press
Dumbbell,Kettlebell Clean & Press
Bodyweight,Cat-Cow Stretch
Bodyweight,Child's Pose
Bodyweight,Pigeon Pose
Bodyweight,Forward Fold
Bodyweight,Spiderman Stretch
Bodyweight,Deep Squat Hold
Bodyweight,Hamstring Stretch (Standing)
Resistance Band,Shoulder Pass-Throughs
Bodyweight,Shoulder Pass-Throughs
